ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Gender_Male,Married_Yes,Dependents_1,Dependents_2,Dependents_3+,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban,TotalIncome,LoanIncomeRatio
1378,1881.0,167.0,360.0,1.0,0,False,True,False,True,False,False,False,False,True,3259.0,0.0512427124884934
6000,2250.0,265.0,360.0,1.0,0,True,True,False,False,False,False,False,True,False,8250.0,0.03212121212121212
3988,0.0,50.0,240.0,1.0,1,True,True,True,False,False,False,False,False,True,3988.0,0.012537612838515547
2366,2531.0,136.0,360.0,1.0,1,True,False,False,False,False,False,False,True,False,4897.0,0.027772105370635083
3333,2000.0,99.0,360.0,1.0,1,True,True,False,True,False,True,False,True,False,5333.0,0.0185636602287643
2500,2118.0,104.0,360.0,1.0,1,True,True,False,False,False,False,False,True,False,4618.0,0.02252057167605024
8566,0.0,210.0,360.0,1.0,1,True,False,False,False,False,False,False,False,True,8566.0,0.02451552650011674
5695,4167.0,175.0,360.0,1.0,1,True,True,False,False,False,False,False,True,False,9862.0,0.017744879334820524
2958,2900.0,131.0,360.0,1.0,1,True,True,False,False,False,False,False,True,False,5858.0,0.022362581085694777
6250,5654.0,188.0,180.0,1.0,1,True,True,False,True,False,False,False,True,False,11904.0,0.015793010752688172
3273,1820.0,81.0,360.0,1.0,1,True,True,False,True,False,True,False,False,True,5093.0,0.015904182210877676
4133,0.0,122.0,360.0,1.0,1,True,False,False,False,False,False,False,True,False,4133.0,0.029518509557222357
3620,0.0,25.0,120.0,1.0,1,True,False,False,False,False,True,False,True,False,3620.0,0.006906077348066298
6782,0.0,128.0,360.0,1.0,0,True,False,False,False,False,False,False,False,True,6782.0,0.018873488646416987
2484,2302.0,137.0,360.0,1.0,1,False,True,False,False,False,False,False,True,False,4786.0,0.028625156707062265
1977,997.0,50.0,360.0,1.0,1,True,True,False,False,False,False,False,True,False,2974.0,0.016812373907195696
4188,0.0,115.0,180.0,1.0,1,True,True,False,False,False,True,False,True,False,4188.0,0.027459407831900668
1759,3541.0,131.0,360.0,1.0,1,True,True,False,False,False,False,False,True,False,5300.0,0.02471698113207547
4288,3263.0,133.0,180.0,1.0,1,True,True,False,True,False,True,False,False,True,7551.0,0.01761356111773275
4843,3806.0,151.0,360.0,1.0,1,True,False,False,False,False,False,False,True,False,8649.0,0.017458665741704245
13650,0.0,128.0,360.0,1.0,1,True,True,False,False,False,False,False,False,True,13650.0,0.009377289377289377
4652,3583.0,128.0,360.0,1.0,1,True,True,False,False,False,False,False,True,False,8235.0,0.01554341226472374
3816,754.0,160.0,360.0,1.0,1,True,True,False,False,False,False,False,False,True,4570.0,0.0350109409190372
3052,1030.0,100.0,360.0,1.0,1,True,True,True,False,False,False,False,False,True,4082.0,0.02449779519843214
11417,1126.0,225.0,360.0,1.0,1,True,True,False,True,False,False,False,False,True,12543.0,0.01793829227457546
7333,0.0,120.0,360.0,1.0,0,True,False,False,False,False,True,False,False,False,7333.0,0.01636438019909996
3800,3600.0,216.0,360.0,0.0,0,True,True,False,True,False,False,False,False,True,7400.0,0.02918918918918919
2071,754.0,94.0,480.0,1.0,1,True,True,False,False,True,True,False,True,False,2825.0,0.03327433628318584
5316,0.0,136.0,360.0,1.0,1,True,False,False,False,False,False,False,False,True,5316.0,0.025583145221971408
2929,2333.0,139.0,360.0,1.0,1,False,True,False,False,False,False,False,True,False,5262.0,0.026415811478525276
3572,4114.0,152.0,360.0,0.0,0,True,True,False,False,False,True,False,False,False,7686.0,0.019776216497527973
7451,0.0,128.0,360.0,1.0,1,False,False,True,False,False,False,True,True,False,7451.0,0.01717890216078379
5050,0.0,118.0,360.0,1.0,1,True,False,False,False,False,False,False,True,False,5050.0,0.023366336633663366
14583,0.0,185.0,180.0,1.0,1,True,True,True,False,False,False,False,False,False,14583.0,0.012686004251525749
3167,2283.0,154.0,360.0,1.0,1,False,True,False,False,False,False,False,True,False,5450.0,0.028256880733944955
2214,1398.0,85.0,360.0,1.0,1,True,True,True,False,False,False,False,False,True,3612.0,0.02353266888150609
5568,2142.0,175.0,360.0,1.0,0,True,True,False,False,False,False,False,False,False,7710.0,0.022697795071335927
10408,0.0,259.0,360.0,1.0,1,False,False,False,False,False,False,False,False,True,10408.0,0.024884704073789392
5667,2667.0,180.0,360.0,1.0,1,True,True,False,False,False,False,False,False,False,8334.0,0.02159827213822894
4166,0.0,44.0,360.0,1.0,1,False,False,False,False,False,False,False,True,False,4166.0,0.01056168987037926
2137,8980.0,137.0,360.0,0.0,1,False,False,False,False,False,False,False,True,False,11117.0,0.01232346856166232
2957,0.0,81.0,360.0,1.0,1,True,True,False,True,False,False,False,True,False,2957.0,0.027392627663172135
4300,2014.0,194.0,360.0,1.0,1,True,True,False,False,False,True,False,False,False,6314.0,0.030725372188786824
3692,0.0,93.0,360.0,1.0,1,False,False,False,False,False,False,False,False,False,3692.0,0.025189599133261104
23803,0.0,370.0,360.0,1.0,1,True,True,False,False,True,False,False,False,False,23803.0,0.015544259127000798
3865,1640.0,128.0,360.0,1.0,1,True,False,False,False,False,False,False,False,False,5505.0,0.023251589464123524
10513,3850.0,160.0,180.0,0.0,0,True,True,True,False,False,False,True,False,True,14363.0,0.011139734038849823
6080,2569.0,182.0,360.0,1.0,0,True,True,False,False,False,False,False,False,False,8649.0,0.021042895132385248
20166,0.0,650.0,480.0,1.0,1,True,False,False,False,False,False,True,False,True,20166.0,0.03223247049489239
2014,1929.0,74.0,360.0,1.0,1,True,False,False,False,False,False,False,False,True,3943.0,0.018767435962465127
2718,0.0,70.0,360.0,1.0,1,True,False,False,False,False,False,False,True,False,2718.0,0.025754231052244298
3459,0.0,25.0,120.0,1.0,1,True,True,False,False,False,False,True,True,False,3459.0,0.007227522405319456
4895,0.0,102.0,360.0,1.0,1,True,False,False,False,False,False,False,True,False,4895.0,0.020837589376915218
4000,7750.0,290.0,360.0,1.0,0,True,True,False,False,True,False,False,True,False,11750.0,0.02468085106382979
4583,0.0,84.0,360.0,1.0,0,False,True,False,False,False,False,False,False,False,4583.0,0.0183286057167794
3316,3500.0,88.0,360.0,1.0,1,True,True,False,True,False,False,True,False,True,6816.0,0.012910798122065728
14999,0.0,242.0,360.0,0.0,0,True,False,False,False,False,False,False,True,False,14999.0,0.016134408960597372
4200,1430.0,129.0,360.0,1.0,0,True,True,False,True,False,True,False,False,False,5630.0,0.022912966252220248
5042,2083.0,185.0,360.0,1.0,0,True,True,False,True,False,False,False,False,False,7125.0,0.025964912280701753
5417,0.0,168.0,360.0,1.0,1,True,False,False,False,False,False,False,False,True,5417.0,0.031013476093778844
6950,0.0,175.0,180.0,1.0,1,True,False,False,False,False,False,True,True,False,6950.0,0.025179856115107913
2698,2034.0,122.0,360.0,1.0,1,True,True,False,False,False,False,False,True,False,4732.0,0.02578191039729501
11757,0.0,187.0,180.0,1.0,1,True,True,False,True,False,False,False,False,True,11757.0,0.01590541804882198
2330,4486.0,100.0,360.0,1.0,1,False,True,False,False,False,False,False,True,False,6816.0,0.014671361502347418
14866,0.0,70.0,360.0,1.0,1,False,True,False,True,False,False,False,False,True,14866.0,0.0047087313332436435
1538,1425.0,30.0,360.0,1.0,1,True,True,True,False,False,False,False,False,True,2963.0,0.010124873439082012
10000,1666.0,225.0,360.0,1.0,0,False,False,False,False,False,False,False,False,False,11666.0,0.019286816389507973
4860,830.0,125.0,360.0,1.0,1,True,True,False,False,False,False,False,True,False,5690.0,0.021968365553602813
6277,0.0,118.0,360.0,0.0,0,True,False,False,False,False,False,False,False,False,6277.0,0.018798789230524134
2577,3750.0,152.0,360.0,1.0,1,True,True,False,False,False,False,True,False,False,6327.0,0.024024024024024024
9166,0.0,244.0,360.0,1.0,0,True,False,False,False,False,False,False,False,True,9166.0,0.026620117826751038
2281,0.0,113.0,360.0,1.0,0,True,True,False,True,False,True,False,False,False,2281.0,0.049539675580885574
3254,0.0,50.0,360.0,1.0,1,True,False,False,False,False,False,False,False,True,3254.0,0.015365703749231715
39999,0.0,600.0,180.0,0.0,1,True,True,False,False,True,False,False,True,False,39999.0,0.015000375009375235
6000,0.0,160.0,360.0,1.0,1,True,True,True,False,False,False,False,False,False,6000.0,0.02666666666666667
9538,0.0,187.0,360.0,1.0,1,True,True,True,False,False,False,False,False,True,9538.0,0.019605787376808556
2980,2083.0,120.0,360.0,1.0,1,True,False,False,False,False,False,False,False,False,5063.0,0.023701362828362632
4583,5625.0,255.0,360.0,1.0,1,True,True,False,False,False,False,False,True,False,10208.0,0.02498040752351097
1863,1041.0,98.0,360.0,1.0,1,True,True,False,False,False,True,False,True,False,2904.0,0.0337465564738292
7933,0.0,275.0,360.0,1.0,0,True,True,False,False,False,False,False,False,True,7933.0,0.03466532207235598
3089,1280.0,121.0,360.0,0.0,0,True,True,True,False,False,False,False,True,False,4369.0,0.027695124742504004
4167,1447.0,158.0,360.0,1.0,1,True,True,False,True,False,False,False,False,False,5614.0,0.028143925899536872
9323,0.0,75.0,180.0,1.0,1,True,True,False,False,False,False,False,False,True,9323.0,0.008044620830204869
3707,3166.0,182.0,360.0,1.0,1,True,True,False,False,False,False,False,False,False,6873.0,0.02648043067074058
4583,0.0,112.0,360.0,1.0,0,False,True,False,False,False,False,False,False,False,4583.0,0.02443814095570587
2439,3333.0,129.0,360.0,1.0,1,True,True,False,False,False,False,False,False,False,5772.0,0.02234927234927235
2237,0.0,63.0,480.0,0.0,0,True,False,False,False,False,False,False,True,False,2237.0,0.028162717925793473
8000,0.0,200.0,360.0,1.0,1,True,True,False,True,False,False,False,True,False,8000.0,0.025
1820,1769.0,95.0,360.0,1.0,1,True,True,False,False,False,True,False,False,False,3589.0,0.026469768737809974
51763,0.0,700.0,300.0,1.0,1,True,True,False,False,True,False,False,False,True,51763.0,0.013523172922744044
3522,0.0,81.0,180.0,1.0,0,True,True,False,False,True,True,False,False,False,3522.0,0.022998296422487224
5708,5625.0,187.0,360.0,1.0,1,True,True,False,False,False,False,False,True,False,11333.0,0.016500485308391422
4344,736.0,87.0,360.0,1.0,0,True,True,False,False,False,True,True,True,False,5080.0,0.017125984251968505
3497,1964.0,116.0,360.0,1.0,1,True,True,False,False,False,False,False,False,False,5461.0,0.021241530855154733
2045,1619.0,101.0,360.0,1.0,1,True,True,False,True,False,False,False,False,False,3664.0,0.027565502183406112
5516,11300.0,495.0,360.0,0.0,0,True,True,False,False,True,False,False,True,False,16816.0,0.029436251189343482
3750,0.0,116.0,360.0,1.0,1,True,True,True,False,False,False,False,True,False,3750.0,0.030933333333333334
2333,1451.0,102.0,480.0,0.0,0,True,False,False,False,False,True,False,False,True,3784.0,0.026955602536997886
6400,7250.0,180.0,360.0,0.0,0,True,True,True,False,False,False,False,False,True,13650.0,0.013186813186813187
1916,5063.0,67.0,360.0,1.0,0,True,False,False,False,False,False,False,False,False,6979.0,0.00960022925920619
4600,0.0,73.0,180.0,1.0,1,True,True,False,False,False,False,False,True,False,4600.0,0.015869565217391305
33846,0.0,260.0,360.0,1.0,0,True,True,True,False,False,False,False,True,False,33846.0,0.00768185309933227
3625,0.0,108.0,360.0,1.0,1,False,True,False,False,False,False,False,True,False,3625.0,0.029793103448275862
39147,4750.0,120.0,360.0,1.0,1,True,True,False,False,False,False,True,True,False,43897.0,0.0027336720049206094
2178,0.0,66.0,300.0,0.0,0,True,True,True,False,False,False,True,False,False,2178.0,0.030303030303030304
2383,2138.0,58.0,360.0,1.0,1,True,True,False,False,False,False,False,False,False,4521.0,0.012829020128290201
674,5296.0,168.0,360.0,1.0,1,True,True,False,False,False,False,True,False,False,5970.0,0.02814070351758794
9328,0.0,188.0,180.0,1.0,1,True,True,False,False,False,False,False,False,False,9328.0,0.020154373927958835
4885,0.0,48.0,360.0,1.0,1,True,False,False,False,False,True,False,False,False,4885.0,0.009825997952917094
12000,0.0,164.0,360.0,1.0,0,True,False,False,False,False,False,False,True,False,12000.0,0.013666666666666667
6033,0.0,160.0,360.0,1.0,0,True,True,False,False,False,True,False,False,True,6033.0,0.026520802254268193
3858,0.0,76.0,360.0,1.0,1,True,False,False,False,False,False,False,True,False,3858.0,0.019699326075686883
4191,0.0,120.0,360.0,1.0,1,True,False,False,False,False,False,False,False,False,4191.0,0.02863278453829635
3125,2583.0,170.0,360.0,1.0,0,True,True,True,False,False,False,False,True,False,5708.0,0.029782761037140854
8333,3750.0,187.0,360.0,1.0,1,True,False,False,False,False,False,False,False,False,12083.0,0.015476289001075892
1907,2365.0,120.0,360.0,1.0,1,False,False,False,False,False,True,False,False,True,4272.0,0.028089887640449437
3416,2816.0,113.0,360.0,1.0,1,False,True,False,False,False,False,False,True,False,6232.0,0.01813222079589217
11000,0.0,83.0,360.0,1.0,0,True,False,False,False,False,False,True,False,True,11000.0,0.007545454545454545
2600,2500.0,90.0,360.0,1.0,1,True,True,True,False,False,True,False,True,False,5100.0,0.01764705882352941
4923,0.0,166.0,360.0,0.0,1,True,False,False,True,False,False,False,True,False,4923.0,0.03371927686370099
3992,0.0,128.0,180.0,1.0,0,True,True,False,False,True,True,False,False,True,3992.0,0.03206412825651302
3500,1083.0,135.0,360.0,1.0,1,True,True,True,False,False,True,False,False,True,4583.0,0.029456687759109753
3917,0.0,124.0,360.0,1.0,1,True,True,False,True,False,True,False,True,False,3917.0,0.03165688026550932
4408,0.0,120.0,360.0,1.0,1,False,False,False,False,False,True,False,True,False,4408.0,0.02722323049001815
3244,0.0,80.0,360.0,1.0,1,False,False,False,False,False,False,False,False,True,3244.0,0.02466091245376079
3975,2531.0,55.0,360.0,1.0,1,True,False,False,False,False,True,False,False,False,6506.0,0.008453735013833385
2479,0.0,59.0,360.0,1.0,1,True,False,False,False,False,False,False,False,True,2479.0,0.02379991932230738
3418,0.0,127.0,360.0,1.0,0,True,False,False,False,False,False,False,True,False,3418.0,0.0371562317144529
10000,0.0,214.0,360.0,1.0,0,False,False,False,False,False,False,False,True,False,10000.0,0.0214
3430,1250.0,128.0,360.0,0.0,0,True,True,False,False,True,False,False,True,False,4680.0,0.02735042735042735
7787,0.0,240.0,360.0,1.0,1,True,True,True,False,False,False,True,False,True,7787.0,0.030820598433286245
5703,0.0,130.0,360.0,1.0,1,True,True,False,False,True,True,True,False,False,5703.0,0.02279502016482553
3173,3021.0,137.0,360.0,1.0,1,True,True,False,False,False,False,False,False,True,6194.0,0.022118178882789795
3850,983.0,100.0,360.0,1.0,1,True,True,False,False,True,True,False,True,False,4833.0,0.02069108214359611
150,1800.0,135.0,360.0,1.0,0,True,True,False,False,False,False,False,False,False,1950.0,0.06923076923076923
3727,1775.0,131.0,360.0,1.0,1,True,True,False,False,False,False,False,True,False,5502.0,0.023809523809523808
5000,0.0,72.0,360.0,0.0,0,True,True,False,True,False,False,False,True,False,5000.0,0.0144
4283,2383.0,127.0,360.0,1.0,1,False,True,False,True,False,False,False,True,False,6666.0,0.019051905190519053
2221,0.0,60.0,360.0,0.0,0,True,True,False,False,False,False,False,False,True,2221.0,0.0270148581719946
4009,1717.0,116.0,360.0,1.0,1,True,True,False,True,False,False,False,True,False,5726.0,0.020258470136220747
2971,2791.0,144.0,360.0,1.0,1,True,False,False,False,False,False,False,True,False,5762.0,0.024991322457480043
7578,1010.0,175.0,360.0,1.0,1,True,True,False,False,False,False,False,True,False,8588.0,0.0203772706101537
6250,0.0,128.0,360.0,1.0,1,True,True,False,False,False,False,False,True,False,6250.0,0.02048
3250,0.0,170.0,360.0,1.0,0,True,True,False,False,False,False,False,False,False,3250.0,0.052307692307692305
4735,0.0,138.0,360.0,1.0,0,True,True,False,False,False,True,True,False,True,4735.0,0.02914466737064414
6250,1695.0,210.0,360.0,1.0,1,True,True,False,True,False,False,False,True,False,7945.0,0.02643171806167401
4758,0.0,158.0,480.0,1.0,1,True,True,False,False,False,False,False,True,False,4758.0,0.0332072299285414
6400,0.0,200.0,360.0,1.0,1,True,False,False,False,False,False,True,False,False,6400.0,0.03125
2491,2054.0,104.0,360.0,1.0,1,True,True,True,False,False,False,False,True,False,4545.0,0.02288228822882288
3716,0.0,42.0,180.0,1.0,1,True,True,False,False,False,False,False,False,False,3716.0,0.011302475780409042
3189,2598.0,120.0,360.0,1.0,1,True,False,False,False,False,True,False,False,False,5787.0,0.020736132711249352
8333,0.0,280.0,360.0,1.0,1,False,False,False,False,False,False,False,True,False,8333.0,0.03360134405376215
3155,1779.0,140.0,360.0,1.0,1,True,True,True,False,False,False,False,True,False,4934.0,0.02837454398054317
5500,1260.0,170.0,360.0,1.0,1,True,True,True,False,False,False,False,False,False,6760.0,0.02514792899408284
5746,0.0,255.0,360.0,1.0,0,True,True,False,False,False,False,False,False,True,5746.0,0.04437869822485207
3463,0.0,122.0,360.0,1.0,1,False,False,False,False,False,False,True,False,True,3463.0,0.03522956973722206
3812,0.0,112.0,360.0,1.0,1,False,False,True,False,False,False,False,False,False,3812.0,0.02938090241343127
3315,0.0,96.0,360.0,1.0,1,True,True,True,False,False,False,False,True,False,3315.0,0.02895927601809955
5819,5000.0,120.0,360.0,1.0,1,True,True,False,True,False,False,False,False,False,10819.0,0.01109159811442832
2510,1983.0,140.0,180.0,1.0,0,True,True,True,False,False,True,False,False,True,4493.0,0.031159581571333184
2965,5701.0,155.0,60.0,1.0,1,True,False,False,False,False,False,False,False,True,8666.0,0.017885991230094624
6250,1300.0,108.0,360.0,1.0,1,True,True,False,True,False,False,True,False,False,7550.0,0.014304635761589404
3406,4417.0,123.0,360.0,1.0,1,True,True,False,False,False,True,False,True,False,7823.0,0.01572286846478333
6050,4333.0,120.0,180.0,1.0,0,True,False,False,False,False,False,True,False,True,10383.0,0.011557353366079168
9703,0.0,112.0,360.0,1.0,1,True,True,False,True,False,False,False,False,True,9703.0,0.011542821807688343
6608,0.0,137.0,180.0,1.0,1,True,True,True,False,False,True,False,False,True,6608.0,0.020732445520581115
2882,1843.0,123.0,480.0,1.0,1,True,True,True,False,False,False,False,True,False,4725.0,0.02603174603174603
1809,1868.0,90.0,360.0,1.0,1,True,True,False,False,False,False,False,False,True,3677.0,0.024476475387544192
1668,3890.0,201.0,360.0,0.0,0,True,True,False,False,False,True,False,True,False,5558.0,0.0361640878013674
3427,0.0,138.0,360.0,1.0,0,False,False,False,True,False,False,False,False,True,3427.0,0.040268456375838924
2583,2167.0,104.0,360.0,1.0,1,True,False,False,False,False,True,True,False,False,4750.0,0.021894736842105262
2661,7101.0,279.0,180.0,1.0,1,True,True,True,False,False,True,False,True,False,9762.0,0.02858020897357099
16250,0.0,192.0,360.0,0.0,0,True,False,False,False,False,False,True,False,True,16250.0,0.011815384615384615
3083,0.0,255.0,360.0,1.0,1,False,False,False,False,True,False,False,False,False,3083.0,0.08271164450210834
